Start,"Hi. I am Eva the evaluation bot. I will guide you through the course evaluation of course XY. <br> Are you ready to start the evaluation? <br> <a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Yes, please start')"";>Yes, please start</a>"
"Yes, please start","First, I will ask you 5 questions concerning the lecture content and the lecture style. After that you will be directed to a post-survey. Please provide honest and direct answers and complete both questioners. They are both very important for the course quality improvement for Prof. Dr. Leimeister.<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Lets Go!')"";>Lets Go!</a><br>"
Lets Go!,"Here we Go! <br> <br> Please rate the following Statement from 1-5 points, with 5 points as highest score. <br><br> A <br> I can benefit from the content of the course<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('1 point')"";>1</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('2 points')"";>2</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('3 points')"";>3</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('4 points')"";>4</a><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('5 points')"";>5</a>"
5 points,"Alright! <br> <a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Continue')"";>Continue</a><br>"
Start,"Hi. I am Eva the evaluation bot. I will guide you through the course evaluation of course XY. <br> Are you ready to start the evaluation? <br> <a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Yes, please start')"";>Yes, please start</a>"
Start,"Hi. I am Eva the evaluation bot. I will guide you through the course evaluation of course XY. <br> Are you ready to start the evaluation? <br> <a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Yes, please start')"";>Yes, please start</a>"
Start,"Hi. I am Eva the evaluation bot. I will guide you through the course evaluation of course XY. <br> Are you ready to start the evaluation? <br> <a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Yes, please start')"";>Yes, please start</a>"
Start,"Hi. I am Eva the evaluation bot. I will guide you through the course evaluation of course XY. <br> Are you ready to start the evaluation? <br> <a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Yes, please start')"";>Yes, please start</a>"
Start,"Hi. I am Eva the evaluation bot. I will guide you through the course evaluation of course XY. <br> Are you ready to start the evaluation? <br> <a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Yes, please start')"";>Yes, please start</a>"
Start,"Hi. I am Eva the evaluation bot. I will guide you through the course evaluation of course XY. <br> Are you ready to start the evaluation? <br> <a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Yes, please start')"";>Yes, please start</a>"
Start,"Hi. I am Eva the evaluation bot. I will guide you through the course evaluation of course XY. <br> Are you ready to start the evaluation? <br> <a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Yes, please start')"";>Yes, please start</a>"
"Yes, please start","First, I will ask you 5 questions concerning the lecture content and the lecture style. After that you will be directed to a post-survey. Please provide honest and direct answers and complete both questioners. They are both very important for the course quality improvement for Prof. Dr. Leimeister.<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Lets Go!')"";>Lets Go!</a><br>"
Start,"Hi. I am Eva the evaluation bot. I will guide you through the course evaluation of course XY. <br> Are you ready to start the evaluation? <br> <a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Yes, please start')"";>Yes, please start</a>"
